User,newTag,total
1,computernetworks,35.0
1,database,7.0
1,datascience,9.0
1,datastructuresalgorithms,24.0
1,html,15.0
1,java,56.0
1,javascript,20.0
1,operatingsystems,43.0
1,programming,28.0
1,python,12.0
2,java,15.0
2,operatingsystems,7.0
2,programming,8.0
3,datastructuresalgorithms,11.0
3,html,7.0
3,java,22.0
3,operatingsystems,14.0
3,programming,8.0
4,computernetworks,10.0
4,html,10.0
4,java,10.0
4,javascript,10.0
4,operatingsystems,10.0
4,programming,10.0
5,computernetworks,16.0
5,datastructuresalgorithms,10.0
5,html,16.0
5,java,16.0
5,javascript,16.0
5,operatingsystems,16.0
5,programming,26.0
5,python,11.0
7,datastructuresalgorithms,6.0
7,html,7.0
7,python,6.0
17,cplusplus,17.0
18,computernetworks,4.0
18,programming,30.0
18,python,30.0
19,programming,16.0
19,python,16.0
